Entry	Gene names	Protein names	Length
P06899	HIST1H2BJ H2BFR	Histone H2B type 1-J (Histone H2B.1) (Histone H2B.r) (H2B/r)	126
P01715	IGLV3-1	Immunoglobulin lambda variable 3-1 (Ig lambda chain V-IV region Bau) (Ig lambda chain V-IV region MOL) (Ig lambda chain V-IV region X)	115
Q8IWL1	SFTPA2 COLEC5 PSAP SFTP1 SFTPA SFTPA2B	Pulmonary surfactant-associated protein A2 (PSP-A) (PSPA) (SP-A) (SP-A2) (35 kDa pulmonary surfactant-associated protein) (Alveolar proteinosis protein) (Collectin-5)	248
P59998	ARPC4 ARC20	Actin-related protein 2/3 complex subunit 4 (Arp2/3 complex 20 kDa subunit) (p20-ARC)	168
P21757	MSR1 SCARA1	Macrophage scavenger receptor types I and II (Macrophage acetylated LDL receptor I and II) (Scavenger receptor class A member 1) (CD antigen CD204)	451
P01880	IGHD	Immunoglobulin heavy constant delta (Ig delta chain C region) (Ig delta chain C region NIG-65) (Ig delta chain C region WAH)	384
O15143	ARPC1B ARC41	Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC)	372
P35247	SFTPD COLEC7 PSPD SFTP4	Pulmonary surfactant-associated protein D (PSP-D) (SP-D) (Collectin-7) (Lung surfactant protein D)	375
Q8TDQ0	HAVCR2 TIM3 TIMD3	Hepatitis A virus cellular receptor 2 (HAVcr-2) (T-cell immunoglobulin and mucin domain-containing protein 3) (TIMD-3) (T-cell immunoglobulin mucin receptor 3) (TIM-3) (T-cell membrane protein 3) (CD antigen CD366)	301
Q92637	FCGR1B IGFRB	High affinity immunoglobulin gamma Fc receptor IB (IgG Fc receptor IB) (Fc-gamma RIB) (FcRIB) (hFcgammaRIB)	280
Q8N5C8	TAB3 MAP3K7IP3	TGF-beta-activated kinase 1 and MAP3K7-binding protein 3 (Mitogen-activated protein kinase kinase kinase 7-interacting protein 3) (NF-kappa-B-activating protein 1) (TAK1-binding protein 3) (TAB-3) (TGF-beta-activated kinase 1-binding protein 3)	712
Q6UWB1	IL27RA CRL1 TCCR WSX1 UNQ296/PRO336	Interleukin-27 receptor subunit alpha (IL-27 receptor subunit alpha) (IL-27R subunit alpha) (IL-27R-alpha) (IL-27RA) (Cytokine receptor WSX-1) (Cytokine receptor-like 1) (Type I T-cell cytokine receptor) (TCCR) (ZcytoR1)	636
P24158	PRTN3 MBN	Myeloblastin (EC 3.4.21.76) (AGP7) (C-ANCA antigen) (Leukocyte proteinase 3) (PR-3) (PR3) (Neutrophil proteinase 4) (NP-4) (P29) (Wegener autoantigen)	256
P51809	VAMP7 SYBL1	Vesicle-associated membrane protein 7 (VAMP-7) (Synaptobrevin-like protein 1) (Tetanus-insensitive VAMP) (Ti-VAMP)	220
P01764	IGHV3-23	Immunoglobulin heavy variable 3-23 (Ig heavy chain V-III region LAY) (Ig heavy chain V-III region POM) (Ig heavy chain V-III region TEI) (Ig heavy chain V-III region TIL) (Ig heavy chain V-III region TUR) (Ig heavy chain V-III region VH26) (Ig heavy chain V-III region WAS) (Ig heavy chain V-III region ZAP)	117
O14514	ADGRB1 BAI1	Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1) [Cleaved into: Vasculostatin-40 (Vstat40); Vasculostatin-120 (Vstat120)]	1584
P01714	IGLV3-19	Immunoglobulin lambda variable 3-19 (Ig lambda chain V-III region SH)	112
P01763	IGHV3-48	Immunoglobulin heavy variable 3-48 (Ig heavy chain V-III region WEA)	117
P01024	C3 CPAMD1	Complement C3 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1) [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc); Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2]	1663
Q92544	TM9SF4 KIAA0255 TUCAP1	Transmembrane 9 superfamily member 4 (Tumor cannibalism associated protein 1)	642
P32942	ICAM3	Intercellular adhesion molecule 3 (ICAM-3) (CDw50) (ICAM-R) (CD antigen CD50)	547
P02675	FGB	Fibrinogen beta chain [Cleaved into: Fibrinopeptide B; Fibrinogen beta chain]	491
P06310	IGKV2-30	Immunoglobulin kappa variable 2-30 (Ig kappa chain V-II region RPMI 6410)	120
P50570	DNM2 DYN2	Dynamin-2 (EC 3.6.5.5)	870
P02748	C9	Complement component C9 [Cleaved into: Complement component C9a; Complement component C9b]	559
P60709	ACTB	Actin, cytoplasmic 1 (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]	375
P06756	ITGAV MSK8 VNRA VTNR	Integrin alpha-V (Vitronectin receptor) (Vitronectin receptor subunit alpha) (CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain]	1048
Q9Y3L3	SH3BP1	SH3 domain-binding protein 1	701
P20851	C4BPB	C4b-binding protein beta chain	252
Q08722	CD47 MER6	Leukocyte surface antigen CD47 (Antigenic surface determinant protein OA3) (Integrin-associated protein) (IAP) (Protein MER6) (CD antigen CD47)	323
P04433	IGKV3-11	Immunoglobulin kappa variable 3-11 (Ig kappa chain V-III region VG)	115
P04211	IGLV7-43	Immunoglobulin lambda variable 7-43 (Ig lambda chain V region 4A)	117
O75594	PGLYRP1 PGLYRP PGRP TNFSF3L SBBI68 UNQ639/PRO1269	Peptidoglycan recognition protein 1 (Peptidoglycan recognition protein short) (PGRP-S)	196
P61106	RAB14	Ras-related protein Rab-14	215
Q02156	PRKCE PKCE	Protein kinase C epsilon type (EC 2.7.11.13) (nPKC-epsilon)	737
P63261	ACTG1 ACTG	Actin, cytoplasmic 2 (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]	375
E7ESF4	PLAT	Plasminogen activator (EC 3.4.21.68)	499
P20963	CD247 CD3Z T3Z TCRZ	T-cell surface glycoprotein CD3 zeta chain (T-cell receptor T3 zeta chain) (CD antigen CD247)	164
P29317	EPHA2 ECK	Ephrin type-A receptor 2 (EC 2.7.10.1) (Epithelial cell kinase) (Tyrosine-protein kinase receptor ECK)	976
P62993	GRB2 ASH	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	217
P02788	LTF GIG12 LF	Lactotransferrin (Lactoferrin) (EC 3.4.21.-) (Growth-inhibiting protein 12) (Talalactoferrin) [Cleaved into: Lactoferricin-H (Lfcin-H); Kaliocin-1; Lactoferroxin-A; Lactoferroxin-B; Lactoferroxin-C]	710
P32971	TNFSF8 CD30L CD30LG	Tumor necrosis factor ligand superfamily member 8 (CD30 ligand) (CD30-L) (CD antigen CD153)	234
P09769	FGR SRC2	Tyrosine-protein kinase Fgr (EC 2.7.10.2) (Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog) (Proto-oncogene c-Fgr) (p55-Fgr) (p58-Fgr) (p58c-Fgr)	529
O00401	WASL	Neural Wiskott-Aldrich syndrome protein (N-WASP)	505
Q6UW15	REG3G PAP1B UNQ429/PRO162	Regenerating islet-derived protein 3-gamma (REG-3-gamma) (Pancreatitis-associated protein 1B) (PAP-1B) (Pancreatitis-associated protein IB) (PAP IB) (Regenerating islet-derived protein III-gamma) (REG III) (Reg III-gamma) [Cleaved into: Regenerating islet-derived protein 3-gamma 16.5 kDa form; Regenerating islet-derived protein 3-gamma 15 kDa form]	175
P22792	CPN2 ACBP	Carboxypeptidase N subunit 2 (Carboxypeptidase N 83 kDa chain) (Carboxypeptidase N large subunit) (Carboxypeptidase N polypeptide 2) (Carboxypeptidase N regulatory subunit)	545
B4DNJ1	PLAT	Tissue-type plasminogen activator (cDNA FLJ59358, highly similar to Tissue-type plasminogen activator)	436
Q9UMF0	ICAM5 TLCN TLN	Intercellular adhesion molecule 5 (ICAM-5) (Telencephalin)	924
P05109	S100A8 CAGA CFAG MRP8	Protein S100-A8 (Calgranulin-A) (Calprotectin L1L subunit) (Cystic fibrosis antigen) (CFAG) (Leukocyte L1 complex light chain) (Migration inhibitory factor-related protein 8) (MRP-8) (p8) (S100 calcium-binding protein A8) (Urinary stone protein band A)	93
Q9BXR6	CFHR5 CFHL5 FHR5	Complement factor H-related protein 5 (FHR-5)	569
P16885	PLCG2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2 (EC 3.1.4.11) (Phosphoinositide phospholipase C-gamma-2) (Phospholipase C-IV) (PLC-IV) (Phospholipase C-gamma-2) (PLC-gamma-2)	1265
B0I1T2	MYO1G HA2	Unconventional myosin-Ig [Cleaved into: Minor histocompatibility antigen HA-2 (mHag HA-2)]	1018
P07858	CTSB CPSB	Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain]	339
P01624	IGKV3-15	Immunoglobulin kappa variable 3-15 (Ig kappa chain V-III region CLL) (Ig kappa chain V-III region POM)	115
P07996	THBS1 TSP TSP1	Thrombospondin-1 (Glycoprotein G)	1170
P28482	MAPK1 ERK2 PRKM1 PRKM2	Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1) (EC 2.7.11.24) (ERT1) (Extracellular signal-regulated kinase 2) (ERK-2) (MAP kinase isoform p42) (p42-MAPK) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2)	360
P24071	FCAR CD89	Immunoglobulin alpha Fc receptor (IgA Fc receptor) (CD antigen CD89)	287
P02746	C1QB	Complement C1q subcomponent subunit B	253
P31994	FCGR2B CD32 FCG2 IGFR2	Low affinity immunoglobulin gamma Fc region receptor II-b (IgG Fc receptor II-b) (CDw32) (Fc-gamma RII-b) (Fc-gamma-RIIb) (FcRII-b) (CD antigen CD32)	310
P0CG48	UBC	Polyubiquitin-C [Cleaved into: Ubiquitin]	685
Q8WTV0	SCARB1 CD36L1 CLA1	Scavenger receptor class B member 1 (SRB1) (CD36 and LIMPII analogous 1) (CLA-1) (CD36 antigen-like 1) (Collagen type I receptor, thrombospondin receptor-like 1) (SR-BI) (CD antigen CD36)	552
P08637	FCGR3A CD16A FCG3 FCGR3 IGFR3	Low affinity immunoglobulin gamma Fc region receptor III-A (CD16a antigen) (Fc-gamma RIII-alpha) (Fc-gamma RIII) (Fc-gamma RIIIa) (FcRIII) (FcRIIIa) (FcR-10) (IgG Fc receptor III-2) (CD antigen CD16a)	254
P02741	CRP PTX1	C-reactive protein [Cleaved into: C-reactive protein(1-205)]	224
P29274	ADORA2A ADORA2	Adenosine receptor A2a	412
P49137	MAPKAPK2	MAP kinase-activated protein kinase 2 (MAPK-activated protein kinase 2) (MAPKAP kinase 2) (MAPKAP-K2) (MAPKAPK-2) (MK-2) (MK2) (EC 2.7.11.1)	400
P01704	IGLV2-14	Immunoglobulin lambda variable 2-14 (Ig lambda chain V-II region NIG-84) (Ig lambda chain V-II region TOG) (Ig lambda chain V-II region VIL)	120
P01709	IGLV2-8	Immunoglobulin lambda variable 2-8 (Ig lambda chain V-II region BO) (Ig lambda chain V-II region MGC)	118
P10909	CLU APOJ CLI KUB1 AAG4	Clusterin (Aging-associated gene 4 protein) (Apolipoprotein J) (Apo-J) (Complement cytolysis inhibitor) (CLI) (Complement-associated protein SP-40,40) (Ku70-binding protein 1) (NA1/NA2) (Sulfated glycoprotein 2) (SGP-2) (Testosterone-repressed prostate message 2) (TRPM-2) [Cleaved into: Clusterin beta chain (ApoJalpha) (Complement cytolysis inhibitor a chain); Clusterin alpha chain (ApoJbeta) (Complement cytolysis inhibitor b chain)]	449
O75951	LYZL6 LYC1 UNQ754/PRO1485	Lysozyme-like protein 6 (EC 3.2.1.17)	148
P15391	CD19	B-lymphocyte antigen CD19 (B-lymphocyte surface antigen B4) (Differentiation antigen CD19) (T-cell surface antigen Leu-12) (CD antigen CD19)	556
Q07954	LRP1 A2MR APR	Prolow-density lipoprotein receptor-related protein 1 (LRP-1) (Alpha-2-macroglobulin receptor) (A2MR) (Apolipoprotein E receptor) (APOER) (CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subunit (LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subunit (LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domain (LRPICD)]	4544
P15814	IGLL1 IGL1	Immunoglobulin lambda-like polypeptide 1 (CD179 antigen-like family member B) (Ig lambda-5) (Immunoglobulin omega polypeptide) (Immunoglobulin-related protein 14.1) (CD antigen CD179b)	213
P01834	IGKC	Immunoglobulin kappa constant (Ig kappa chain C region) (Ig kappa chain C region AG) (Ig kappa chain C region CUM) (Ig kappa chain C region EU) (Ig kappa chain C region OU) (Ig kappa chain C region ROY) (Ig kappa chain C region TI)	107
P11226	MBL2 COLEC1 MBL	Mannose-binding protein C (MBP-C) (Collectin-1) (MBP1) (Mannan-binding protein) (Mannose-binding lectin)	248
P57053	H2BFS	Histone H2B type F-S (Histone H2B.s) (H2B/s)	126
Q7L0X0	TRIL KIAA0644	TLR4 interactor with leucine rich repeats (Leucine-rich repeat-containing protein KIAA0644)	811
Q08431	MFGE8	Lactadherin (Breast epithelial antigen BA46) (HMFG) (MFGM) (Milk fat globule-EGF factor 8) (MFG-E8) (SED1) [Cleaved into: Lactadherin short form; Medin]	387
Q9NZC2	TREM2	Triggering receptor expressed on myeloid cells 2 (TREM-2) (Triggering receptor expressed on monocytes 2)	230
Q01523	DEFA5 DEF5	Defensin-5 (Defensin, alpha 5) (HD5(20-94)) [Cleaved into: HD5(23-94); HD5(29-94); HD5(56-94); HD5(63-94)]	94
P01023	A2M CPAMD5 FWP007	Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5)	1474
Q9NR96	TLR9 UNQ5798/PRO19605	Toll-like receptor 9 (CD antigen CD289)	1032
P10809	HSPD1 HSP60	60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60) (HuCHA60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein)	573
Q14699	RFTN1 KIAA0084 MIG2	Raftlin (Cell migration-inducing gene 2 protein) (Raft-linking protein)	578
H0YCA1	SERPING1	Plasma protease C1 inhibitor (Fragment)	86
P61769	B2M CDABP0092 HDCMA22P	Beta-2-microglobulin [Cleaved into: Beta-2-microglobulin form pI 5.3]	119
O00206	TLR4	Toll-like receptor 4 (hToll) (CD antigen CD284)	839
Q7Z4W2	LYZL2	Lysozyme-like protein 2 (Lysozyme-2) (EC 3.2.1.17)	148
P07360	C8G	Complement component C8 gamma chain	202
Q9NPY3	CD93 C1QR1 MXRA4	Complement component C1q receptor (C1q/MBL/SPA receptor) (C1qR) (C1qR(p)) (C1qRp) (CDw93) (Complement component 1 q subcomponent receptor 1) (Matrix-remodeling-associated protein 4) (CD antigen CD93)	652
P60763	RAC3	Ras-related C3 botulinum toxin substrate 3 (p21-Rac3)	192
P35579	MYH9	Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A) (NMMHC-A) (Non-muscle myosin heavy chain IIa) (NMMHC II-a) (NMMHC-IIA)	1960
P01742	IGHV1-69	Immunoglobulin heavy variable 1-69 (Ig heavy chain V-I region EU) (Ig heavy chain V-I region SIE) (Ig heavy chain V-I region WOL)	117
P08571	CD14	Monocyte differentiation antigen CD14 (Myeloid cell-specific leucine-rich glycoprotein) (CD antigen CD14) [Cleaved into: Monocyte differentiation antigen CD14, urinary form; Monocyte differentiation antigen CD14, membrane-bound form]	375
P42768	WAS IMD2	Wiskott-Aldrich syndrome protein (WASp)	502
Q15399	TLR1 KIAA0012	Toll-like receptor 1 (Toll/interleukin-1 receptor-like protein) (TIL) (CD antigen CD281)	786
Q9Y2A7	NCKAP1 HEM2 KIAA0587 NAP1	Nck-associated protein 1 (NAP 1) (Membrane-associated protein HEM-2) (p125Nap1)	1128
P02538	KRT6A K6A KRT6D	Keratin, type II cytoskeletal 6A (Cytokeratin-6A) (CK-6A) (Cytokeratin-6D) (CK-6D) (Keratin-6A) (K6A) (Type-II keratin Kb6) (allergen Hom s 5)	564
Q9Y6W5	WASF2 WAVE2	Wiskott-Aldrich syndrome protein family member 2 (WASP family protein member 2) (Protein WAVE-2) (Verprolin homology domain-containing protein 2)	498
P27361	MAPK3 ERK1 PRKM3	Mitogen-activated protein kinase 3 (MAP kinase 3) (MAPK 3) (EC 2.7.11.24) (ERT2) (Extracellular signal-regulated kinase 1) (ERK-1) (Insulin-stimulated MAP2 kinase) (MAP kinase isoform p44) (p44-MAPK) (Microtubule-associated protein 2 kinase) (p44-ERK1)	379
P01597	IGKV1-39	Immunoglobulin kappa variable 1-39 (Ig kappa chain V-I region DEE) (Ig kappa chain V-I region Hau) (Ig kappa chain V-I region Mev) (Ig kappa chain V-I region OU) (Ig kappa chain V-I region Walker)	117
O75871	CEACAM4 CGM7	Carcinoembryonic antigen-related cell adhesion molecule 4 (Carcinoembryonic antigen CGM7) (Non-specific cross-reacting antigen W236)	244
P12429	ANXA3 ANX3	Annexin A3 (35-alpha calcimedin) (Annexin III) (Annexin-3) (Inositol 1,2-cyclic phosphate 2-phosphohydrolase) (Lipocortin III) (Placental anticoagulant protein III) (PAP-III)	323
P01701	IGLV1-51	Immunoglobulin lambda variable 1-51 (Ig lambda chain V-I region BL2) (Ig lambda chain V-I region EPS) (Ig lambda chain V-I region NEW) (Ig lambda chain V-I region NIG-64)	117
P01374	LTA TNFB TNFSF1	Lymphotoxin-alpha (LT-alpha) (TNF-beta) (Tumor necrosis factor ligand superfamily member 1)	205
P20023	CR2 C3DR	Complement receptor type 2 (Cr2) (Complement C3d receptor) (Epstein-Barr virus receptor) (EBV receptor) (CD antigen CD21)	1033
A2NJV5	IGKV2-29	Immunoglobulin kappa variable 2-29	120
P15529	CD46 MCP MIC10	Membrane cofactor protein (TLX) (Trophoblast leukocyte common antigen) (CD antigen CD46)	392
P20701	ITGAL CD11A	Integrin alpha-L (CD11 antigen-like family member A) (Leukocyte adhesion glycoprotein LFA-1 alpha chain) (LFA-1A) (Leukocyte function-associated molecule 1 alpha chain) (CD antigen CD11a)	1170
Q9NR97	TLR8 UNQ249/PRO286	Toll-like receptor 8 (CD antigen CD288)	1041
A0A075B6P5	IGKV2-28	Immunoglobulin kappa variable 2-28	120
Q05397	PTK2 FAK FAK1	Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein phosphatase 1 regulatory subunit 71) (PPP1R71) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK)	1052
P43235	CTSK CTSO CTSO2	Cathepsin K (EC 3.4.22.38) (Cathepsin O) (Cathepsin O2) (Cathepsin X)	329
P57764	GSDMD DFNA5L GSDMDC1 FKSG10	Gasdermin-D (Gasdermin domain-containing protein 1) [Cleaved into: Gasdermin-D, N-terminal (GSDMD-NT); Gasdermin-D, C-terminal (GSDMD-CT)]	484
P05155	SERPING1 C1IN C1NH	Plasma protease C1 inhibitor (C1 Inh) (C1Inh) (C1 esterase inhibitor) (C1-inhibiting factor) (Serpin G1)	500
Q03591	CFHR1 CFHL CFHL1 CFHL1P CFHR1P FHR1 HFL1 HFL2	Complement factor H-related protein 1 (FHR-1) (H factor-like protein 1) (H-factor-like 1) (H36)	330
Q5VX71	SUSD4 UNQ196/PRO222	Sushi domain-containing protein 4	490
P16671	CD36 GP3B GP4	Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36)	472
P61158	ACTR3 ARP3	Actin-related protein 3 (Actin-like protein 3)	418
P03951	F11	Coagulation factor XI (FXI) (EC 3.4.21.27) (Plasma thromboplastin antecedent) (PTA) [Cleaved into: Coagulation factor XIa heavy chain; Coagulation factor XIa light chain]	625
O15145	ARPC3 ARC21	Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit) (p21-ARC)	178
Q8TDQ1	CD300LF CD300F CLM1 IGSF13 IREM1 NKIR UNQ3105/PRO10111	CMRF35-like molecule 1 (CLM-1) (CD300 antigen-like family member F) (Immune receptor expressed on myeloid cells 1) (IREM-1) (Immunoglobulin superfamily member 13) (IgSF13) (NK inhibitory receptor) (CD antigen CD300f)	290
P23083	IGHV1-2	Immunoglobulin heavy variable 1-2 (Ig heavy chain V-I region ND) (Ig heavy chain V-I region V35)	117
Q8IXA5	SPACA3 LYC3 LYZL3 SLLP1 SPRASA UNQ424/PRO862	Sperm acrosome membrane-associated protein 3 (Cancer/testis antigen 54) (CT54) (Lysozyme-like acrosomal sperm-specific secretory protein ALLP-17) (Lysozyme-like protein 3) (Sperm lysozyme-like protein 1) (Sperm protein reactive with antisperm antibodies) (Sperm protein reactive with ASA) [Cleaved into: Sperm acrosome membrane-associated protein 3, membrane form; Sperm acrosome membrane-associated protein 3, processed form]	215
P78536	ADAM17 CSVP TACE	Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (Snake venom-like protease) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b)	824
P04432	IGKV1D-39	Immunoglobulin kappa variable 1D-39 (Ig kappa chain V-I region Daudi)	117
P0C0L5	C4B CO4 CPAMD3; C4B_2	Complement C4-B (Basic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 3) [Cleaved into: Complement C4 beta chain; Complement C4-B alpha chain; C4a anaphylatoxin; C4b-B; C4d-B; Complement C4 gamma chain]	1744
Q96QH8	SPACA5 LYZL5 SPACA5A UNQ6288/PRO20753; SPACA5B	Sperm acrosome-associated protein 5 (EC 3.2.1.17) (Lysozyme-like protein 5) (Sperm-specific lysozyme-like protein X) (SLLP-X)	159
Q05655	PRKCD	Protein kinase C delta type (EC 2.7.11.13) (Tyrosine-protein kinase PRKCD) (EC 2.7.10.2) (nPKC-delta) [Cleaved into: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)]	676
P62837	UBE2D2 PUBC1 UBC4 UBC5B UBCH4 UBCH5B	Ubiquitin-conjugating enzyme E2 D2 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D2) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D2) (Ubiquitin carrier protein D2) (Ubiquitin-conjugating enzyme E2(17)KB 2) (Ubiquitin-conjugating enzyme E2-17 kDa 2) (Ubiquitin-protein ligase D2) (p53-regulated ubiquitin-conjugating enzyme 1)	147
P42336	PIK3CA	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform (PI3-kinase subunit alpha) (PI3K-alpha) (PI3Kalpha) (PtdIns-3-kinase subunit alpha) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit alpha) (PtdIns-3-kinase subunit p110-alpha) (p110alpha) (Phosphoinositide-3-kinase catalytic alpha polypeptide) (Serine/threonine protein kinase PIK3CA) (EC 2.7.11.1)	1068
P01780	IGHV3-7	Immunoglobulin heavy variable 3-7 (Ig heavy chain V-III region GAL) (Ig heavy chain V-III region GAR) (Ig heavy chain V-III region JON)	117
P05156	CFI IF	Complement factor I (EC 3.4.21.45) (C3B/C4B inactivator) [Cleaved into: Complement factor I heavy chain; Complement factor I light chain]	583
P05556	ITGB1 FNRB MDF2 MSK12	Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29)	798
P01130	LDLR	Low-density lipoprotein receptor (LDL receptor)	860
P0CG04	IGLC1	Immunoglobulin lambda constant 1 (Ig lambda chain C region MGC) (Ig lambda-1 chain C region)	106
Q16778	HIST2H2BE H2BFQ	Histone H2B type 2-E (Histone H2B-GL105) (Histone H2B.q) (H2B/q)	126
Q8IZY2	ABCA7	Phospholipid-transporting ATPase ABCA7 (EC 7.6.2.1) (ABCA-SSN) (ATP-binding cassette sub-family A member 7) (Autoantigen SS-N) (Macrophage ABC transporter)	2146
P01705	IGLV2-23	Immunoglobulin lambda variable 2-23 (Ig lambda chain V-II region NEI)	113
Q8IX05	CD302 CLEC13A DCL1 KIAA0022	CD302 antigen (C-type lectin BIMLEC) (C-type lectin domain family 13 member A) (DEC205-associated C-type lectin 1) (Type I transmembrane C-type lectin receptor DCL-1) (CD antigen CD302)	232
P01824	IGHV4-39	Immunoglobulin heavy variable 4-39 (Ig heavy chain V-II region WAH)	125
O60602	TLR5 TIL3	Toll-like receptor 5 (Toll/interleukin-1 receptor-like protein 3)	858
P01602	IGKV1-5	Immunoglobulin kappa variable 1-5 (Ig kappa chain V-I region CAR) (Ig kappa chain V-I region EU) (Ig kappa chain V-I region HK102) (Ig kappa chain V-I region Kue)	117
P09693	CD3G T3G	T-cell surface glycoprotein CD3 gamma chain (T-cell receptor T3 gamma chain) (CD antigen CD3g)	182
Q96P20	NLRP3 C1orf7 CIAS1 NALP3 PYPAF1	NACHT, LRR and PYD domains-containing protein 3 (Angiotensin/vasopressin receptor AII/AVP-like) (Caterpiller protein 1.1) (CLR1.1) (Cold-induced autoinflammatory syndrome 1 protein) (Cryopyrin) (PYRIN-containing APAF1-like protein 1)	1036
P59666	DEFA3 DEF3	Neutrophil defensin 3 (Defensin, alpha 3) (HNP-3) (HP-3) (HP3) [Cleaved into: HP 3-56; Neutrophil defensin 2 (HNP-2) (HP-2) (HP2)]	94
P01717	IGLV3-25	Immunoglobulin lambda variable 3-25 (Ig lambda chain V-IV region Hil)	112
Q8TDE3	RNASE8	Ribonuclease 8 (RNase 8) (EC 3.1.27.-)	154
A0M8Q6	IGLC7	Immunoglobulin lambda constant 7 (Ig lambda-7 chain C region)	106
P27918	CFP PFC	Properdin (Complement factor P)	469
P04083	ANXA1 ANX1 LPC1	Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35)	346
P01593	IGKV1D-33	Immunoglobulin kappa variable 1D-33 (Ig kappa chain V-I region AG) (Ig kappa chain V-I region Bi) (Ig kappa chain V-I region Lay) (Ig kappa chain V-I region Ni) (Ig kappa chain V-I region Rei) (Ig kappa chain V-I region Roy) (Ig kappa chain V-I region Scw) (Ig kappa chain V-I region WAT)	117
